locid;code;name;surface_m2;total_surface
3298;12;Zone for commercial and industrial use (Gewerbe und Industrie);212273;1622837
3298;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);190516;1622837
3298;14;Core zone development (Kernzone Entwicklung);133162;1622837
3298;15;Zone for public buildings ;305157;1622837
3298;16;eingeschränkte Bauzonen;8383;1622837
3298;17;Tourism and leisure zone (Tourismus und FreizeitZone);89073;1622837
3311;11;Zone for residential use (Wohnzone);389684;746804
3311;12;Zone for commercial and industrial use (Gewerbe und Industrie);6427;746804
3311;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);30009;746804
3311;14;Core zone development (Kernzone Entwicklung);133653;746804
3311;15;Zone for public buildings ;83703;746804
3311;16;eingeschränkte Bauzonen;32742;746804
3311;17;Tourism and leisure zone (Tourismus und FreizeitZone);70586;746804
3312;11;Zone for residential use (Wohnzone);288524;738123
3312;12;Zone for commercial and industrial use (Gewerbe und Industrie);124887;738123
3312;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);186130;738123
3312;14;Core zone development (Kernzone Entwicklung);53282;738123
3312;15;Zone for public buildings ;55153;738123
3312;16;eingeschränkte Bauzonen;3916;738123
3312;17;Tourism and leisure zone (Tourismus und FreizeitZone);26023;738123
3312;19;Weitere Bauzonen;208;738123
3313;11;Zone for residential use (Wohnzone);439005;1120698
3313;12;Zone for commercial and industrial use (Gewerbe und Industrie);223557;1120698
3313;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);237225;1120698
